ts_code,trade_date,name,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,idx_type,level
BK1489.DC,20260401,快递,申通快递,002468.SZ,0.89,2.23,30430739.2,0.63,4,0,行业板块,东财三级行业
BK1488.DC,20260401,跨境物流,嘉友国际,603871.SH,1.24,2.53,18891944.5,0.89,10,2,行业板块,东财三级行业
BK1487.DC,20260401,公路货运,传化智联,002010.SZ,-1.97,3.14,2970611.4,2.32,2,3,行业板块,东财三级行业
BK1486.DC,20260401,仓储物流,密尔克卫,603713.SH,1.41,3.19,3828549.1,1.24,6,0,行业板块,东财三级行业
BK1485.DC,20260401,铁路运输,三羊马,001317.SZ,-0.59,1.69,41637860.8,0.47,2,5,行业板块,东财三级行业
BK1484.DC,20260401,公交,锦江在线,600650.SH,0.56,2.08,3979977.6,0.85,5,2,行业板块,东财三级行业
BK1483.DC,20260401,高速公路,重庆路桥,600106.SH,-0.23,1.66,38151294.4,0.62,7,12,行业板块,东财三级行业
BK1482.DC,20260401,航运,锦江航运,601083.SH,2.93,10.04,73574128.0,1.99,19,1,行业板块,东财三级行业
BK1481.DC,20260401,港口,南 京 港,002040.SZ,0.09,1.89,56397201.6,0.63,7,7,行业板块,东财三级行业
BK1480.DC,20260401,机场,深圳机场,000089.SZ,1.62,4.32,15631084.5,0.69,4,1,行业板块,东财三级行业
BK1479.DC,20260401,航空运输,中国东航,600115.SH,3.51,6.82,56682988.8,1.17,9,0,行业板块,东财三级行业
BK1478.DC,20260401,装修装饰Ⅲ,德才股份,605287.SH,0.82,10.0,11849992.5,1.86,12,9,行业板块,东财三级行业
BK1477.DC,20260401,其他专业工程,柏诚股份,601133.SH,1.8,9.98,26309849.2,3.75,15,5,行业板块,东财三级行业
BK1476.DC,20260401,化学工程,三联虹普,300384.SZ,2.04,2.84,8224935.4,1.83,6,0,行业板块,东财三级行业
BK1475.DC,20260401,国际工程,中工国际,002051.SZ,0.04,0.56,6499829.7,4.84,3,1,行业板块,东财三级行业
BK1474.DC,20260401,钢结构,东南网架,002135.SZ,1.36,5.96,7248340.1,2.96,9,1,行业板块,东财三级行业
BK1473.DC,20260401,园林工程,汇绿生态,001267.SZ,0.96,5.27,9061619.9,4.37,13,6,行业板块,东财三级行业
BK1472.DC,20260401,基建市政工程,北新路桥,002307.SZ,-0.11,6.97,89945571.2,1.78,16,11,行业板块,东财三级行业
BK1471.DC,20260401,工程咨询服务Ⅲ,苏交科,300284.SZ,2.1,7.98,22557257.3,2.95,44,3,行业板块,东财三级行业
BK1470.DC,20260401,房屋建设Ⅲ,宁波建工,601789.SH,0.6,6.15,29353574.4,1.09,4,3,行业板块,东财三级行业
BK1469.DC,20260401,涂料,三棵树,603737.SH,-0.33,1.79,4046175.7,1.17,1,1,行业板块,东财三级行业
BK1468.DC,20260401,其他建材Ⅲ,万里石,002785.SZ,0.94,4.19,12872934.1,1.78,11,4,行业板块,东财三级行业
BK1467.DC,20260401,耐火材料,北京利尔,002392.SZ,1.31,2.31,3502402.2,1.03,7,1,行业板块,东财三级行业
BK1466.DC,20260401,管材,雄塑科技,300599.SZ,0.53,1.53,3870713.4,0.99,4,1,行业板块,东财三级行业
BK1465.DC,20260401,防水材料,东方雨虹,002271.SZ,1.54,1.89,4948930.1,1.58,3,0,行业板块,东财三级行业
BK1464.DC,20260401,水泥制造,华新建材,600801.SH,0.93,7.36,30336321.6,0.91,12,2,行业板块,东财三级行业
BK1463.DC,20260401,水泥制品,苏博特,603916.SH,0.45,1.99,3486668.9,1.8,7,2,行业板块,东财三级行业
BK1462.DC,20260401,玻纤制造,山东玻纤,605006.SH,5.04,10.01,33846721.6,5.09,8,0,行业板块,东财三级行业
BK1461.DC,20260401,玻璃制造,金晶科技,600586.SH,0.96,1.73,6785540.4,1.5,9,0,行业板块,东财三级行业
BK1460.DC,20260401,照明设备Ⅲ,联域股份,001326.SZ,1.73,4.06,8534313.7,1.64,15,0,行业板块,东财三级行业
BK1459.DC,20260401,清洁小家电,莱克电气,603355.SH,2.7,4.68,11554796.8,1.64,7,0,行业板块,东财三级行业
BK1458.DC,20260401,个护小家电,彩虹集团,003023.SZ,3.69,6.74,2156834.5,1.94,4,0,行业板块,东财三级行业
BK1457.DC,20260401,厨房小家电,北鼎股份,300824.SZ,1.27,3.0,8225237.9,1.12,9,1,行业板块,东财三级行业
BK1456.DC,20260401,其他家电Ⅲ,荣泰健康,603579.SH,1.9,3.27,1182651.3,1.87,3,0,行业板块,东财三级行业
BK1455.DC,20260401,家电零部件Ⅲ,宏昌科技,301008.SZ,1.81,5.37,41263766.4,2.76,33,3,行业板块,东财三级行业
BK1454.DC,20260401,其他黑色家电,极米科技,688696.SH,2.42,6.13,4816914.0,1.36,5,1,行业板块,东财三级行业
BK1453.DC,20260401,彩电,海信视像,600060.SH,1.93,3.22,11709720.6,1.58,4,0,行业板块,东财三级行业
BK1452.DC,20260401,卫浴电器,奥普科技,603551.SH,0.29,0.55,1917837.1,2.26,3,0,行业板块,东财三级行业
BK1451.DC,20260401,厨房电器,亿田智能,300911.SZ,1.74,8.86,4304795.0,3.6,4,2,行业板块,东财三级行业
BK1450.DC,20260401,空调,海信家电,000921.SZ,1.64,3.76,82815283.2,0.5,3,0,行业板块,东财三级行业
BK1449.DC,20260401,冰洗,深康佳Ａ,000016.SZ,2.35,5.79,25066678.5,1.77,9,0,行业板块,东财三级行业
BK1448.DC,20260401,横向通用软件,泛微网络,603039.SH,2.32,6.88,59486849.6,1.56,34,1,行业板块,东财三级行业
BK1447.DC,20260401,垂直应用软件,佳发教育,300559.SZ,1.58,7.26,114572900.8,2.8,92,9,行业板块,东财三级行业
BK1446.DC,20260401,其他计算机设备,ST华铭,300462.SZ,1.59,8.19,76902348.8,2.32,55,8,行业板块,东财三级行业
BK1445.DC,20260401,安防设备,中润光学,688307.SH,2.18,12.07,47804867.2,0.73,26,1,行业板块,东财三级行业
BK1444.DC,20260401,IT服务Ⅲ,美利云,000815.SZ,1.96,9.99,156316644.8,3.43,112,21,行业板块,东财三级行业
BK1443.DC,20260401,橡胶助剂,阳谷华泰,300121.SZ,2.67,3.1,3629208.1,1.26,2,0,行业板块,东财三级行业
BK1442.DC,20260401,炭黑,确成股份,605183.SH,1.64,3.76,2990926.2,2.17,4,1,行业板块,东财三级行业
BK1441.DC,20260401,其他橡胶制品,利通科技,920225.BJ,0.91,4.94,6433700.7,2.38,11,4,行业板块,东财三级行业
