序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000020,深华发Ａ,9.98288631439209,19.28,55759302,3492868738.48,5459348552.96,1.596375584602356,531035209,092500,092500,0,3/3,3,光学光电
2,000539,粤电力Ａ,10.0,5.61,147132948,14335720503.390001,29454093419.52,1.02633798122406,121819915,092500,092500,0,1/1,1,电力
3,000601,韶能股份,9.967320442199707,6.73,210594554,7063316084.110001,7163030597.440001,2.981525182723999,351132298,092500,092500,0,1/1,1,电力
4,600396,华电辽能,10.0,5.17,331038848,7613894243.89,7613894238.72,4.347825527191162,224291536,092503,092503,0,3/3,3,电力
5,002323,雅博股份,10.181818008422852,3.03,340888928,6424757229.719999,6426191062.08,5.387364387512207,146865627,093015,093015,0,4/3,2,专业工程
6,000037,深南电A,10.02087688446045,10.54,137688316,3572091900.9999995,6353117719.679999,3.872288227081299,48484000,093018,093018,0,1/1,1,电力
7,603387,基蛋生物,9.957627296447754,10.38,343269936,5264253506.46,5264253537.6,6.602631092071533,75511240,093048,093209,1,2/2,2,医疗器械
8,603897,长城科技,9.990043640136719,33.14,633470304,6841278468.34,6841278468.34,9.311802864074707,18935466,093107,093813,3,1/1,1,电网设备
9,600468,百利电气,10.061349868774414,8.97,571800864,9756985829.37,9756985892.16,5.910242557525635,75016863,093215,094833,1,1/1,1,电网设备
10,600666,奥瑞德,9.90099048614502,4.44,1062721424,10743703031.400002,12216426420.480001,9.987582206726074,123694137,093336,095830,3,1/1,1,光学光电
11,600370,三房巷,10.0,3.63,1469433696,14144951002.71,14144951013.6,10.65034294128418,18258718,093429,142723,7,5/5,5,化学纤维
12,603088,宁波精达,9.991743087768555,13.32,695450320,5832452908.8,6691807733.76,12.155405044555664,38760187,093900,110836,2,1/1,1,通用设备
13,000990,诚志股份,9.989806175231934,10.79,756294592,13112403291.65,13112413013.439999,5.877678871154785,119560062,093930,093930,0,1/1,1,化学原料
14,603489,八方股份,9.98800277709961,36.67,271071680,8603441289.93,8603441289.93,3.216427803039551,70678344,093931,095622,1,1/1,1,电机Ⅱ
15,002339,积成电子,10.026385307312012,12.51,456271344,5989707986.04,6306194322.72,7.816102027893066,110368849,093936,093936,0,1/1,1,电网设备
16,605286,同力天启,9.993579864501953,51.4,178336821,8635200000.0,8635200000.0,2.1180951595306396,150422100,094134,094134,0,1/1,1,专用设备
17,600307,酒钢宏兴,10.0,2.42,1403473104,15157324966.08,15157325004.8,9.501340866088867,70799469,094152,100422,2,4/3,2,普钢
